Gurobi Optimizer version 11.0.3 build v11.0.3rc0 (linux64 - "Rocky Linux 9.4 (Blue Onyx)")

CPU model: AMD EPYC 7662 64-Core Processor, instruction set [SSE2|AVX|AVX2]
Thread count: 128 physical cores, 128 logical processors, using up to 32 threads

Optimize a model with 15059016 rows, 7352685 columns and 43629859 nonzeros
Model fingerprint: 0x47003898
Variable types: 0 continuous, 7352685 integer (7352685 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e-04, 1e+00]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e+00, 5e+04]
Found heuristic solution: objective 1184.0264988
Presolve removed 1890971 rows and 816965 columns (presolve time = 5s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 10s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 15s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 20s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 25s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 32s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 36s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 40s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 45s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 50s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 55s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 60s) ...
Presolve removed 1890971 rows and 816965 columns (presolve time = 66s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 70s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 75s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 81s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 85s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 90s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 95s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 100s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 105s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 110s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 116s) ...
Presolve removed 6600035 rows and 1023485 columns (presolve time = 120s) ...
Presolve removed 6600034 rows and 1023484 columns
Presolve time: 124.01s
Presolved: 8458982 rows, 6329201 columns, 24196956 nonzeros
Variable types: 0 continuous, 6329201 integer (6329200 binary)
Found heuristic solution: objective 1578.9728974
Concurrent LP optimizer: primal and dual simplex
Showing primal log only...


Root simplex log...

Iteration    Objective       Primal Inf.    Dual Inf.      Time
 5211761    6.2472514e+03   0.000000e+00   2.003817e+03   1186s
 5223931    6.2503172e+03   0.000000e+00   2.858147e+03   1199s
 5244964    6.2530843e+03   0.000000e+00   5.536780e+03   1224s
 5262668    6.2555245e+03   0.000000e+00   1.876491e+03   1257s
 5277505    6.2577136e+03   0.000000e+00   9.895812e+02   1278s
 5292049    6.2605214e+03   0.000000e+00   9.921342e+02   1292s
 5310362    6.2629601e+03   0.000000e+00   1.153184e+03   1307s
 5325022    6.2651567e+03   0.000000e+00   8.175236e+02   1323s
 5338809    6.2672526e+03   0.000000e+00   8.542009e+02   1334s
 5348622    6.2686471e+03   0.000000e+00   1.351213e+03   1341s
 5362546    6.2703756e+03   0.000000e+00   5.461054e+02   1354s
 5372145    6.2720660e+03   0.000000e+00   4.872856e+02   1362s
 5381154    6.2726620e+03   0.000000e+00   5.805881e+02   1371s
 5392258    6.2738002e+03   0.000000e+00   5.176464e+02   1385s
 5403947    6.2750590e+03   0.000000e+00   4.071517e+02   1394s
 5419570    6.2769244e+03   0.000000e+00   3.809115e+02   1406s
 5431351    6.2782034e+03   0.000000e+00   4.761924e+02   1418s
 5443898    6.2789759e+03   0.000000e+00   2.371904e+02   1427s
 5454794    6.2800702e+03   0.000000e+00   2.454147e+02   1438s
 5461937    6.2804317e+03   0.000000e+00   2.912352e+02   1444s
 5472965    6.2813730e+03   0.000000e+00   2.343156e+02   1451s
 5484403    6.2823148e+03   0.000000e+00   2.407533e+02   1459s
 5494393    6.2828153e+03   0.000000e+00   2.427760e+02   1466s
 5504028    6.2834808e+03   0.000000e+00   1.310831e+02   1472s
 5514942    6.2839566e+03   0.000000e+00   3.563625e+02   1490s
 5524595    6.2849723e+03   0.000000e+00   1.272799e+03   1502s
 5534473    6.2858051e+03   0.000000e+00   1.369538e+02   1516s
 5542927    6.2864470e+03   0.000000e+00   6.230060e+01   1522s
 5551611    6.2877551e+03   0.000000e+00   7.664273e+01   1531s
 5560254    6.2886593e+03   0.000000e+00   5.757831e+01   1540s
 5567886    6.2893966e+03   0.000000e+00   5.161811e+01   1545s
 5576093    6.2910182e+03   0.000000e+00   6.119701e+01   1553s
 5584113    6.2919486e+03   0.000000e+00   1.126687e+02   1561s
 5590317    6.2924286e+03   0.000000e+00   4.877244e+01   1567s
 5595899    6.2931511e+03   0.000000e+00   3.788063e+01   1575s
 5602809    6.2942971e+03   0.000000e+00   3.554420e+01   1584s
 5611676    6.2958486e+03   0.000000e+00   2.273254e+01   1595s
 5622699    6.2971268e+03   0.000000e+00   2.203282e+01   1612s
 5636383    6.2987035e+03   0.000000e+00   1.567135e+01   1625s
 5645372    6.2992585e+03   0.000000e+00   1.556694e+01   1654s
 5657920    6.3015196e+03   0.000000e+00   1.153064e+01   1667s
 5665177    6.3029894e+03   0.000000e+00   1.978616e+01   1674s
 5673371    6.3052376e+03   0.000000e+00   1.138502e+01   1686s
 5681922    6.3067686e+03   0.000000e+00   1.369375e+03   1698s
 5693731    6.3073714e+03   0.000000e+00   1.470294e+01   1713s
 5701234    6.3088589e+03   0.000000e+00   1.202010e+03   1722s
 5710658    6.3097489e+03   0.000000e+00   3.195902e+02   1727s
 5725183    6.3104788e+03   0.000000e+00   8.538865e+00   1738s
 5735943    6.3107948e+03   0.000000e+00   1.562942e+02   1752s
 5742883    6.3109160e+03   0.000000e+00   9.388992e+00   1763s
 5743747    6.3104241e+03   4.180000e+01   0.000000e+00   1766s
 5743870    6.3104241e+03   0.000000e+00   0.000000e+00   1773s

Solved with primal simplex

Root relaxation: objective 6.310424e+03, 5743870 iterations, 1626.34 seconds (1021.71 work units)
Total elapsed time = 2108.69s (DegenMoves)
Total elapsed time = 2119.06s (DegenMoves)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
